ID;Toma;RFID;Descripción;Código Error;Tiempo KO (min);Información;Solución;Autogestión;Revisado;Fecha
85449042;1;9D45BEFB;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;29-04-2025, 11:56
84954172;2;62AAF420;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;24-04-2025, 17:39
83378957;2;D45E7EAF;35 - DC leakage error - Charger Status: Faulted;35 - DC leakage error - OtherError;;Hay una fuga de corriente contínua;Este problema desaparecerá cuando la sesión termine. Si el problema persiste, llame a la asistencia técnica;;;07-04-2025, 08:58
81638873;1                 2;4210747D                 ADB2C99C;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;13-03-2025, 13:45
81637519;1                 2;4210747D                 9E4D5697;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;13-03-2025, 13:14
81636912;1                 2;4210747D                 9E4D5697;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;13-03-2025, 13:01
81633864;1                 2;4210747D                 9E4D5697;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;13-03-2025, 12:17
81453742;1;D6FF153E;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;11-03-2025, 14:44
81093730;1;17E7BA2C;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;07-03-2025, 14:15
80577403;2;62AAF420;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;01-03-2025, 08:42
80201743;1;62AAF420;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;25-02-2025, 14:02
78464253;1;1BF4C9EC;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;12-02-2025, 13:57
77598299;1                 2;81407EED                 D6FF153E;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;06-02-2025, 10:14
77597981;1                 2;81407EED                 D6FF153E;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;06-02-2025, 10:12
77500538;1;62AAF420;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;05-02-2025, 17:36
77462998;1;8063448D;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;05-02-2025, 11:09
77306591;1                 2;D45E7EAF                 9D45BEFB;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;04-02-2025, 09:16
77306557;1                 2;D45E7EAF                 9D45BEFB;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;04-02-2025, 09:15
77183467;1                 2;7B0734A0                 A2D6FE57;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;03-02-2025, 12:20
76612903;1                 2;8063448D                 9D45BEFB;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;30-01-2025, 08:54
74837747;1;1BF4C9EC;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;16-01-2025, 10:33
74737200;1                 2;D7A39F47                 8063448D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;15-01-2025, 12:17
73795055;2;94B4C72C;35 - DC leakage error - Charger Status: Faulted;35 - DC leakage error - OtherError;;Hay una fuga de corriente contínua;Este problema desaparecerá cuando la sesión termine. Si el problema persiste, llame a la asistencia técnica;;;07-01-2025, 07:01
73327248;1;A2D6FE57;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;03-01-2025, 10:36
73318302;1;A2D6FE57;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;03-01-2025, 08:57
73318293;1;A2D6FE57;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-01-2025, 08:56
71474457;2;9D45BEFB;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;19-12-2024, 07:27
71176881;1                 2;D45E7EAF                 C3E6C920;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;16-12-2024, 15:01
71176771;1;D45E7EAF;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;16-12-2024, 14:53
71142560;1;D45E7EAF;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;16-12-2024, 07:59
69684480;1                 2;81407EED                 8063448D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-12-2024, 07:12
67765877;2;A2D6FE57;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;18-11-2024, 10:42
67694122;1;62AAF420;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;15-11-2024, 12:14
67599844;1                 2;D7A39F47                 9D45BEFB;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;14-11-2024, 15:19
65400222;2;C8FCAD98;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;25-10-2024, 17:37
65193529;2;F75D56A2;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;23-10-2024, 15:47
65071809;2;4210747D;35 - DC leakage error - Charger Status: Faulted;35 - DC leakage error - OtherError;;Hay una fuga de corriente contínua;Este problema desaparecerá cuando la sesión termine. Si el problema persiste, llame a la asistencia técnica;;;22-10-2024, 10:17
64685667;1                 2;0471488A317780                 0471488A317780;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;18-10-2024, 13:44
64015781;1;0471488A317780;35 - DC leakage error - Charger Status: Faulted;35 - DC leakage error - OtherError;;Hay una fuga de corriente contínua;Este problema desaparecerá cuando la sesión termine. Si el problema persiste, llame a la asistencia técnica;;;11-10-2024, 10:09
63746323;1                 2;0471488A317780                 963F779B;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;08-10-2024, 09:46
62693948;2;4210747D;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;26-09-2024, 14:39
62094697;2;963F779B;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;20-09-2024, 11:35
60603894;1                 2;52FC1964                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-09-2024, 13:57
60603886;1;52FC1964;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-09-2024, 13:54
60603877;1                 2;52FC1964                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-09-2024, 13:51
60603161;1                 2;52FC1964                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-09-2024, 13:46
60319826;2;963F779B;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;02-09-2024, 17:50
60318747;2;963F779B;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;02-09-2024, 17:43
60317476;2;963F779B;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;02-09-2024, 17:17
59132883;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;21-08-2024, 11:29
59129673;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;21-08-2024, 10:41
58512064;1;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;14-08-2024, 15:31
58410570;1;E2541124;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;13-08-2024, 11:22
58410489;1;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;13-08-2024, 11:20
58410328;1;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;13-08-2024, 11:18
57900319;1                 2;52FC1964                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;05-08-2024, 14:16
56252374;1                 2;E2541124                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;17-07-2024, 15:55
56233392;1                 2;E2541124                 4210747D;11 - open door - Charger Status: Faulted;11 - open door - OtherError;;La puerta está abierta;Cierre la puerta;;;17-07-2024, 09:10
56177711;1;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;16-07-2024, 16:33
56176742;1;E2541124;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;16-07-2024, 16:27
55438376;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-07-2024, 12:27
55437816;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-07-2024, 12:18
55434000;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-07-2024, 11:43
55433908;2;E2541124;16 - control pilot no diode - Charger Status: Faulted;16 - control pilot no diode - OtherError;;Piloto de control de EV no tiene el diodo;Code 16;;;03-07-2024, 11:23
55433348;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-07-2024, 10:54
55432131;2;E2541124;15 - control pilot shortcircuit - Charger Status: Faulted;15 - control pilot shortcircuit - OtherError;;Hay un cortocircuito en el piloto de control;Desconecte el conector y vuelva a conectarlo. Si el problema persiste, llame a la asistencia técnica;;;03-07-2024, 10:25
